,Date,values
0,2019-03-10 17:00:00+00:00,NaN
1,2019-03-11 17:00:00+00:00,NaN
2,2019-03-12 17:00:00+00:00,NaN
3,2019-03-13 17:00:00+00:00,NaN
4,2019-03-14 17:00:00+00:00,NaN
5,2019-03-15 17:00:00+00:00,NaN
6,2019-03-17 17:00:00+00:00,NaN
7,2019-03-18 17:00:00+00:00,NaN
8,2019-03-19 17:00:00+00:00,NaN
9,2019-03-20 17:00:00+00:00,NaN
10,2019-03-21 17:00:00+00:00,NaN
11,2019-03-22 17:00:00+00:00,NaN
12,2019-03-24 17:00:00+00:00,NaN
13,2019-03-25 17:00:00+00:00,NaN
14,2019-03-26 17:00:00+00:00,NaN
15,2019-03-27 17:00:00+00:00,NaN
16,2019-03-28 17:00:00+00:00,NaN
17,2019-03-29 17:00:00+00:00,NaN
18,2019-03-31 16:00:00+00:00,NaN
19,2019-04-01 16:00:00+00:00,-0.5916361243731938
20,2019-04-02 16:00:00+00:00,-0.5863681074671848
21,2019-04-03 16:00:00+00:00,-0.6336467119516317
22,2019-04-04 16:00:00+00:00,-0.6035805282196554
23,2019-04-05 16:00:00+00:00,-0.46720990516397043
24,2019-04-07 16:00:00+00:00,-0.5373169388266107
25,2019-04-08 16:00:00+00:00,-0.7278532840431742
26,2019-04-09 16:00:00+00:00,-0.7337813943793599
27,2019-04-10 16:00:00+00:00,-0.6698573913679141
28,2019-04-11 16:00:00+00:00,-0.7216104290454033
29,2019-04-12 16:00:00+00:00,-0.7527642435465337
30,2019-04-14 16:00:00+00:00,-0.7958710609438662
31,2019-04-15 16:00:00+00:00,-0.830914433613943
32,2019-04-16 16:00:00+00:00,-0.8398049319296296
33,2019-04-17 16:00:00+00:00,-0.8450837300446004
34,2019-04-18 16:00:00+00:00,-0.8569534357409139
35,2019-04-19 16:00:00+00:00,-0.8659479863070628
36,2019-04-21 16:00:00+00:00,-0.8562468712699259
37,2019-04-22 16:00:00+00:00,-0.8592967361516556
38,2019-04-23 16:00:00+00:00,-0.8824501582340613
39,2019-04-24 16:00:00+00:00,-0.8929262234375638
40,2019-04-25 16:00:00+00:00,-0.8993004196700572
41,2019-04-26 16:00:00+00:00,-0.9274587581081439
42,2019-04-28 16:00:00+00:00,-0.9468354048778352
43,2019-04-29 16:00:00+00:00,-0.9480207231462889
44,2019-04-30 16:00:00+00:00,-0.946803841488615
45,2019-05-01 16:00:00+00:00,-0.945270277657303
46,2019-05-02 16:00:00+00:00,-0.9422238827549729
47,2019-05-03 16:00:00+00:00,-0.9515241956559677
48,2019-05-05 16:00:00+00:00,-0.9385154987838493
49,2019-05-06 16:00:00+00:00,-0.9319176528872803
50,2019-05-07 16:00:00+00:00,-0.9107862079892851
51,2019-05-08 16:00:00+00:00,-0.8821075595756922
52,2019-05-09 16:00:00+00:00,-0.8412306125969825
53,2019-05-10 16:00:00+00:00,-0.7773258241848665
54,2019-05-12 16:00:00+00:00,-0.6834592483406511
55,2019-05-13 16:00:00+00:00,-0.44253410631088785
56,2019-05-14 16:00:00+00:00,-0.35500724574435444
57,2019-05-15 16:00:00+00:00,-0.21487049473543998
58,2019-05-16 16:00:00+00:00,-0.24227480263784967
59,2019-05-17 16:00:00+00:00,-0.22941270063833086
60,2019-05-19 16:00:00+00:00,-0.03750569127702192
61,2019-05-20 16:00:00+00:00,0.10042030409682375
62,2019-05-21 16:00:00+00:00,0.16197165106060984
63,2019-05-22 16:00:00+00:00,0.1787585142523376
64,2019-05-23 16:00:00+00:00,0.15553888680111466
65,2019-05-24 16:00:00+00:00,0.1164281109903274
66,2019-05-26 16:00:00+00:00,0.0943025094607729
67,2019-05-27 16:00:00+00:00,0.017478559229563477
68,2019-05-28 16:00:00+00:00,-0.09623254525283852
69,2019-05-29 16:00:00+00:00,-0.14980297469845533
70,2019-05-30 16:00:00+00:00,-0.29053886501443454
71,2019-05-31 16:00:00+00:00,-0.4503012934665875
72,2019-06-02 16:00:00+00:00,-0.560890709627754
73,2019-06-03 16:00:00+00:00,-0.6828081620906428
74,2019-06-04 16:00:00+00:00,-0.7847959902881897
75,2019-06-05 16:00:00+00:00,-0.8835864747301495
76,2019-06-06 16:00:00+00:00,-0.9297393028569354
77,2019-06-07 16:00:00+00:00,-0.9446720781270139
78,2019-06-09 16:00:00+00:00,-0.9538116548213189
79,2019-06-10 16:00:00+00:00,-0.9528461248145501
80,2019-06-11 16:00:00+00:00,-0.9519298042722789
81,2019-06-12 16:00:00+00:00,-0.9590564170571793
82,2019-06-13 16:00:00+00:00,-0.9650889150832839
83,2019-06-14 16:00:00+00:00,-0.9682139965316183
84,2019-06-16 16:00:00+00:00,-0.970201786214248
85,2019-06-17 16:00:00+00:00,-0.9723515419541992
86,2019-06-18 16:00:00+00:00,-0.9717633998856052
87,2019-06-19 16:00:00+00:00,-0.9580103732350653
88,2019-06-20 16:00:00+00:00,-0.9506677021684168
89,2019-06-21 16:00:00+00:00,-0.9466430704774846
90,2019-06-23 16:00:00+00:00,-0.9329192187993853
91,2019-06-24 16:00:00+00:00,-0.9102840758463409
92,2019-06-25 16:00:00+00:00,-0.8649799422642585
93,2019-06-26 16:00:00+00:00,-0.7723757744539238
94,2019-06-27 16:00:00+00:00,-0.667589758319155
95,2019-06-28 16:00:00+00:00,-0.3658457505229841
